# {'device': 'mps', 'vocab': 50277, 'dead_token': 50, 'dead_token_str': "'Q'", 'arch': 'causal', 'model': 'RWKV/rwkv-4-169m-pile', 'freq_penalty': 0.0}
# dead token 50 = 'Q' shown as '.'
g   0 | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . XIII . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   1 | . : : _ _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . _ X X X X . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   2 | . : _ _ _ I : : : : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . _ . . . . X X . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   3 | . : _ _ How How have How _ : : : : : : . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . _ : . . . . . X . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   4 | . : _ _ How to to I Many _ How _ _ _ _ _ : _ _ _ _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . _ : . . . . . . X . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   5 | . : _ _ How to get get get To _ to _ I I I A _ _ I A A 1 _ _ _ _ . . . . . . . . . . . . . . . . . . . . . . . . . _ _ . . . . . . . X X . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   6 | . : _ _ How to get the ter ter ast _ get _ have _ _ _ _ I have is is _ _ I I I : _ _ _ _ _ . . . . . . . . . . . . . . . . . . . _ A . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   7 | . : _ _ How to get the value the of ion _ _ _ _ _ I I A want tried a a get get have _ _ _ get get I I A : : _ _ _ _ _ . . . . . . . . . . . . _ _ . . _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   8 | . : _ _ How to get the value of user a of _ id _ I I have _ : to to lot function ter _ a _ A A _ get on A _ _ _ _ A A A A : : : _ _ . . . . . . . _ A . . _ . _ _ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
g   9 | . : _ _ How to get the value of a input in a _ = _ want _ a id _ _ _ of _ _ _ to _ _ _ ID _ _ _ _ I I I : _ _ _ to _ _ : A : _ _ _ _ _ . _ . . . _ . _ I . . . . . _ _ _ _ _ . . . . . . . . . . . . . . . . . . . . . .
g  10 | . : _ _ How to get the value of a variable field a form _ < _ to = _ _ _ I I a _ A A _ _ = A _ _ A A A want _ _ _ _ _ _ _ _ A _ _ _ _ : : A A : _ _ _ _ _ . _ _ _ _ _ _ _ _ A A A A _ . . . . _ _ _ . . . . . . . . . . . . .
g  11 | . : _ _ How to get the value of a variable in in variable field _ form _ get < < I I want _ = _ _ _ _ I _ _ _ I _ _ _ to _ A A A A A A A _ A _ A A _ _ _ _ _ _ : : A A _ _ . A A A A A A _ _ _ _ _ A _ _ _ _ A A . . . _ _ _ _ . . . . .
g  12 | . : _ _ How to get the value of a variable in a a in in _ = _ _ input -- > > to _ < _ I A A want _ A A want _ I I get _ = = _ _ _ _ _ _ _ _ _ _ _ I A A A A _ _ _ _ _ : _ _ _ _ _ _ _ _ _ A A A _ _ A A A _ _ A A A _ A A A A _ _ _
g  13 | . : _ _ How to get the value of a variable in a function function a a _ ( _ _ = _ _ _ _ _ input _ want _ _ to _ _ _ _ _ want want _ _ _ _ _ I A A A A A A A A A want get get _ _ _ A A A A _ _ I I I A A A A A : _ _ _ A _ _ _ _ A _ _ _ _ _ _ _ _ _ A
g  14 | . : _ _ How to get the value of a variable in a function ? ? function function _ a _ var ( _ ( I = _ = _ _ _ = _ _ _ input input input _ _ _ ) ) A ) want _ _ _ _ _ _ _ _ _ _ _ _ _ A A : _ _ A _ A want A _ _ _ _ _ _ _ _ I A : _ A A A _ _ A A A A A A A A
g  15 | . : _ _ How to get the value of a variable in a function ? _ _ _ _ _ = b a a _ a ) 1 _ _ ( I I _ _ = = = = input _ = = _ _ = _ to _ = = ( ( ( ( ( ( ( ( ) ) ) _ _ _ A = _ _ _ _ _ A A A A A A A want _ _ _ = = _ _ A : : _ _ _ _ _
g  16 | . : _ _ How to get the value of a variable in a function ? _ _ I I I var ( ( _ _ _ b _ _ b _ b am ) _ I b b = = _ _ = _ = = = _ _ _ _ _ I I a 1 1 1 1 1 _ 1 1 _ = I : ) _ = = = = _ _ _ _ _ _ _ to _ = = ) _ _ = _ _ _ _ = = =
g  17 | . : _ _ How to get the value of a variable in a function ? _ _ I have : I _ https function _ var var = _ ) _ _ _ _ _ _ am _ am ( _ _ b _ = _ = _ _ I I ) ) b b = = = = _ _ _ _ _ _ _ b a _ _ = = = = = I I I I I I get _ = = _ _ = = = = = = = =
